Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
Gonzaga,WCC,1,1,95,130,26-0,17-0,9-0,7-0,79,46,8-0,6-0,5-0,7-0
Baylor,Big 12,2,2,86,124,22-2,14-2,8-0,7-1,50,211,8-2,2-0,7-0,5-0
Illinois,Big Ten,3,3,8,66,23-6,19-4,4-2,9-3,7,36,12-5,5-1,4-0,2-0
Michigan,Big Ten,4,4,8,66,20-4,15-4,5-0,6-2,19,261,8-3,6-1,4-0,2-0
Houston,American,5,5,101,133,23-3,17-3,6-0,5-3,133,157,2-1,6-1,10-1,5-0
Iowa,Big Ten,6,6,35,88,21-8,15-7,6-1,6-4,15,165,8-6,5-2,3-0,5-0
Alabama,SEC,7,7,11,69,24-6,19-2,5-4,7-3,33,108,8-4,9-1,7-1,0-0
Ohio St.,Big Ten,8,8,3,62,21-9,15-9,6-0,7-4,5,203,9-7,6-2,4-0,2-0
Colgate,Patriot,9,9,154,169,14-1,14-1,0-0,6-0,257,,0-0,2-0,6-1,6-0
Loyola Chicago,MVC,10,10,146,164,22-4,19-2,3-2,8-3,143,102,2-2,4-2,4-0,12-0
Kansas,Big 12,11,11,35,88,19-8,13-6,6-2,4-6,16,45,7-8,2-0,5-0,5-0
Virginia,ACC,12,12,57,100,18-6,14-4,4-2,6-3,49,147,5-4,4-1,5-1,4-0
Tennessee,SEC,13,13,42,91,18-8,11-8,7-0,4-4,42,183,6-6,2-2,6-0,4-0
Arkansas,SEC,14,14,61,102,22-6,14-5,8-1,5-4,47,227,6-5,6-1,5-0,5-0
Colorado,Pac-12,15,15,67,106,22-8,16-7,6-1,6-6,78,200,3-4,7-1,9-3,3-0
Texas Tech,Big 12,16,17,80,114,17-10,9-9,8-1,5-4,25,166,4-10,2-0,3-0,8-0
Villanova,Big East,17,16,30,86,16-6,11-5,5-1,4-4,61,107,5-3,4-3,6-0,1-0
San Diego St.,Mountain West,18,18,97,131,22-4,17-3,5-1,6-2,116,78,1-3,7-1,8-0,6-0
Southern California,Pac-12,19,19,47,94,22-7,16-6,6-1,7-3,75,136,3-4,6-3,10-0,3-0
BYU,WCC,20,20,75,112,19-6,11-4,8-2,7-2,53,65,3-4,5-2,6-0,5-0
Texas,Big 12,21,21,26,84,19-7,13-6,6-1,6-2,21,89,8-6,2-1,5-0,4-0
Purdue,Big Ten,22,22,11,69,18-9,13-7,5-2,5-6,17,176,6-7,7-1,3-1,2-0
St. Bonaventure,Atlantic 10,23,27,85,118,16-4,14-4,2-0,4-3,99,239,4-2,3-1,5-1,4-0
West Virginia,Big 12,24,23,15,73,18-9,11-7,7-2,7-2,18,31,7-7,3-2,6-0,2-0
Florida St.,ACC,25,24,40,90,16-6,12-5,4-1,3-4,57,195,3-4,7-1,2-1,4-0
Creighton,Big East,26,25,52,97,20-8,16-7,4-1,7-4,68,186,7-3,5-3,4-2,4-0
