School,Overall_Seed,Berth Type,Season
Iowa St.,21,At large,2023
Texas A&M,25,At large,2023
Iowa,32,At large,2023
Auburn,35,At large,2023
Penn St.,38,At large,2023
Mississippi St.,43,At large,2023
Pittsburgh,44,At large,2023
Drake,49,Automatic,2023
Kent St.,51,Automatic,2023
Kennesaw St.,55,Automatic,2023
Colgate,60,Automatic,2023
Northern Ky.,63,Automatic,2023
Kansas,3,At large,2023
UCLA,5,At large,2023
Gonzaga,10,Automatic,2023
UConn,13,At large,2023
Saint Mary's (CA),19,At large,2023
TCU,24,At large,2023
Northwestern,28,At large,2023
Arkansas,30,At large,2023
Illinois,36,At large,2023
Boise St.,37,At large,2023
Arizona St.,45,At large,2023
Nevada,46,At large,2023
VCU,50,Automatic,2023
Iona,52,Automatic,2023
Grand Canyon,57,Automatic,2023
UNC Asheville,62,Automatic,2023
Howard,64,Automatic,2023
UConn,1,Automatic,2024
Iowa St.,8,Automatic,2024
Illinois,12,Automatic,2024
Auburn,15,Automatic,2024
San Diego St.,18,At Large,2024
BYU,21,At Large,2024
Washington St.,26,At Large,2024
Fla. Atlantic,31,At Large,2024
Northwestern,36,At Large,2024
Drake,40,Automatic,2024
Duquesne,46,Automatic,2024
UAB,50,Automatic,2024
Yale,52,Automatic,2024
Morehead St.,57,Automatic,2024
South Dakota St.,61,Automatic,2024
Stetson,64,Automatic,2024
North Carolina,4,At Large,2024
Arizona,6,At Large,2024
Baylor,9,At Large,2024
Alabama,16,At Large,2024
Saint Mary's (CA),20,Automatic,2024
Clemson,22,At Large,2024
Dayton,28,At Large,2024
Mississippi St.,32,At Large,2024
Michigan St.,33,At Large,2024
Nevada,37,At Large,2024
New Mexico,44,Automatic,2024
Grand Canyon,47,Automatic,2024
Col. of Charleston,54,Automatic,2024
Colgate,58,Automatic,2024
Long Beach St.,59,Automatic,2024
Howard,67,Automatic,2024
Wagner,68,Automatic,2024
Houston,2,At Large,2024
Marquette,7,At Large,2024
Kentucky,11,At Large,2024
Duke,13,At Large,2024
Wisconsin,19,At Large,2024
Texas Tech,23,At Large,2024
Florida,25,At Large,2024
Nebraska,29,At Large,2024
Texas A&M,34,At Large,2024
Boise St.,38,At Large,2024
Colorado,39,At Large,2024
NC State,45,Automatic,2024
James Madison,48,Automatic,2024
Vermont,51,Automatic,2024
Oakland,55,Automatic,2024
Western Ky.,60,Automatic,2024
Longwood,63,Automatic,2024
Purdue,3,At Large,2024
Tennessee,5,At Large,2024
Creighton,10,At Large,2024
Kansas,14,At Large,2024
Gonzaga,17,At Large,2024
South Carolina,24,At Large,2024
Texas,27,At Large,2024
Utah St.,30,At Large,2024
TCU,35,At Large,2024
Virginia,41,At Large,2024
Colorado St.,42,At Large,2024
