Team,Conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
Houston,American,1,1,93,138,31-3,19-2,12-1,11-0,92,74,7-2,8-0,7-1,9-0
Alabama(AQ),SEC,2,2,6,78,29-5,19-2,10-3,9-3,10,5,13-5,6-0,7-0,3-0
UCLA,Pac-12,3,3,30,102,29-5,20-3,9-2,9-2,46,114,8-5,9-0,5-0,7-0
Tennessee,SEC,4,4,31,103,23-10,12-8,11-2,4-6,32,46,7-7,3-3,6-0,7-0
Purdue(AQ),Big Ten,5,5,16,94,29-5,18-5,11-0,8-3,20,81,10-4,9-1,5-0,5-0
Gonzaga(AQ),WCC,6,6,50,111,27-5,16-2,11-3,7-2,56,9,6-4,5-0,8-1,8-0
Texas(AQ),Big 12,7,7,8,82,26-8,15-6,11-2,4-6,6,124,14-8,4-0,1-0,7-0
UConn,Big East,8,8,50,111,25-8,14-8,11-0,6-5,42,91,7-6,6-1,4-1,8-0
Kansas,Big 12,9,9,1,60,27-7,15-6,12-1,7-4,1,16,17-7,4-0,3-0,3-0
Arizona(AQ),Pac-12,10,10,43,108,28-6,17-6,11-0,6-4,47,57,9-2,7-4,5-0,7-0
Saint Mary's (CA),WCC,11,11,45,109,25-7,15-3,10-4,6-2,77,84,2-3,7-2,11-2,5-0
Marquette(AQ),Big East,12,12,50,111,28-6,20-3,8-3,9-4,45,153,8-5,6-0,6-1,8-0
Fla. Atlantic(AQ),CUSA,13,13,124,162,29-3,21-2,8-1,11-3,152,294,2-1,4-2,11-0,12-0
San Diego St.(AQ),Mountain West,14,14,11,88,26-6,18-3,8-3,8-2,48,23,5-5,6-1,13-0,2-0
Baylor,Big 12,15,15,5,77,22-10,11-8,11-2,5-5,2,44,11-10,4-0,0-0,7-0
Duke(AQ),ACC,16,16,50,111,26-8,17-6,9-2,4-6,57,68,5-6,7-2,4-0,10-0
Creighton,Big East,17,17,21,96,21-12,15-7,6-5,5-6,26,21,3-9,7-2,5-1,6-0
Utah St.,Mountain West,18,19,22,97,25-8,15-6,10-2,6-4,73,198,2-5,9-1,13-0,1-2
Texas A&M,SEC,19,18,54,112,25-9,17-4,8-5,7-4,43,248,7-6,5-1,6-0,7-2
Iowa St.,Big 12,20,20,10,85,19-13,10-10,9-3,3-8,4,103,10-11,2-2,1-0,6-0
Arkansas,SEC,21,21,9,84,20-13,9-11,11-2,2-8,17,100,4-10,4-2,10-1,2-0
Xavier,Big East,22,22,28,100,25-9,17-6,8-3,7-4,31,48,9-6,4-2,4-1,8-0
Memphis(AQ),American,23,29,68,117,26-8,16-5,10-3,7-5,67,33,4-4,9-3,7-1,6-0
Kansas St.,Big 12,24,23,18,95,23-9,11-8,12-1,4-7,16,310,9-8,4-1,3-0,7-0
West Virginia,Big 12,25,24,3,74,19-14,8-12,11-2,3-8,5,97,6-13,6-1,1-0,6-0
Kentucky,SEC,26,25,41,107,21-11,12-7,9-4,6-4,25,71,6-7,6-1,3-2,6-1
Virginia,ACC,27,26,76,126,25-7,17-6,8-1,6-5,72,42,5-5,6-1,5-1,9-0
TCU,Big 12,28,28,40,106,21-12,10-10,11-2,3-7,11,292,8-11,5-0,0-0,8-1
Boise St.,Mountain West,29,27,45,109,23-9,14-6,9-3,6-6,60,135,3-5,9-2,6-2,5-0
Indiana,Big Ten,30,30,18,95,22-11,13-9,9-2,5-7,12,104,6-9,6-2,4-0,6-0
Maryland,Big Ten,31,31,54,112,21-12,12-10,9-2,2-9,36,159,3-10,6-2,3-0,9-0
Auburn,SEC,32,32,14,93,20-12,10-9,10-3,4-8,18,79,3-10,6-1,8-1,3-0
Michigan St.,Big Ten,33,33,3,74,19-12,11-9,8-3,5-7,7,37,5-9,8-2,2-1,4-0
Illinois,Big Ten,34,34,54,112,20-12,11-10,9-2,3-7,30,116,2-11,7-1,4-0,7-0
Miami (FL),ACC,35,35,86,132,25-7,16-6,9-1,7-4,81,172,5-5,6-0,7-1,7-1
Oral Roberts(AQ),Summit League,36,36,262,216,26-4,21-0,5-4,11-4,202,6,0-4,1-0,6-0,19-0
Nevada,Mountain West,37,37,31,103,21-10,12-7,9-3,6-7,71,132,4-5,3-3,11-2,3-0
North Texas,CUSA,38,38,112,154,24-7,17-5,7-2,9-3,126,178,1-3,3-2,11-1,9-1
Iowa,Big Ten,39,39,26,98,19-13,11-10,8-3,4-7,23,126,4-7,9-3,1-2,5-1
Rutgers,Big Ten,40,40,45,109,19-14,11-11,8-3,4-7,41,314,4-7,6-3,2-4,7-0
